,exchangeCD,calendarDate,isOpen,prevTradeDate,isWeekEnd,isMonthEnd,isQuarterEnd,isYearEnd
101,CCFX,2008-04-11,1,2008-04-10,1,0,0,0
102,CCFX,2008-04-12,0,2008-04-11,0,0,0,0
103,CCFX,2008-04-13,0,2008-04-11,0,0,0,0
104,CCFX,2008-04-14,1,2008-04-11,0,0,0,0
105,CCFX,2008-04-15,1,2008-04-14,0,0,0,0
106,CCFX,2008-04-16,1,2008-04-15,0,0,0,0
107,CCFX,2008-04-17,1,2008-04-16,0,0,0,0
108,CCFX,2008-04-18,1,2008-04-17,1,0,0,0
109,CCFX,2008-04-19,0,2008-04-18,0,0,0,0
110,CCFX,2008-04-20,0,2008-04-18,0,0,0,0
111,CCFX,2008-04-21,1,2008-04-18,0,0,0,0
112,CCFX,2008-04-22,1,2008-04-21,0,0,0,0
113,CCFX,2008-04-23,1,2008-04-22,0,0,0,0
114,CCFX,2008-04-24,1,2008-04-23,0,0,0,0
115,CCFX,2008-04-25,1,2008-04-24,1,0,0,0
116,CCFX,2008-04-26,0,2008-04-25,0,0,0,0
117,CCFX,2008-04-27,0,2008-04-25,0,0,0,0
118,CCFX,2008-04-28,1,2008-04-25,0,0,0,0
119,CCFX,2008-04-29,1,2008-04-28,0,0,0,0
120,CCFX,2008-04-30,1,2008-04-29,1,1,0,0
121,CCFX,2008-05-01,0,2008-04-30,0,0,0,0
122,CCFX,2008-05-02,0,2008-04-30,0,0,0,0
123,CCFX,2008-05-03,0,2008-04-30,0,0,0,0
124,CCFX,2008-05-04,0,2008-04-30,0,0,0,0
125,CCFX,2008-05-05,1,2008-04-30,0,0,0,0
126,CCFX,2008-05-06,1,2008-05-05,0,0,0,0
127,CCFX,2008-05-07,1,2008-05-06,0,0,0,0
128,CCFX,2008-05-08,1,2008-05-07,0,0,0,0
129,CCFX,2008-05-09,1,2008-05-08,1,0,0,0
130,CCFX,2008-05-10,0,2008-05-09,0,0,0,0
131,CCFX,2008-05-11,0,2008-05-09,0,0,0,0
132,CCFX,2008-05-12,1,2008-05-09,0,0,0,0
133,CCFX,2008-05-13,1,2008-05-12,0,0,0,0
134,CCFX,2008-05-14,1,2008-05-13,0,0,0,0
